Key,en,es,ar,fr,de,ru,tr,hi,ur,cn,ig-ng
items,items,elementos,أغراض,articles,Artikel,предметы,öğeler,सामान,اشیاء,项目,ihe
Section item not found!,Section item not found!,¡Artículo de sección no encontrado!,لم يتم العثور على عنصر القسم!,Élément de section introuvable !,Abschnittselement nicht gefunden!,Элемент раздела не найден!,Bölüm öğesi bulunamadı!,अनुभाग आइटम नहीं मिला!,سیکشن آئٹم نہیں ملا!,未找到部分项目！,Ahụghị ihe ngalaba!
Section item is invalid!,Section item is invalid!,¡El elemento de la sección no es válido!,عنصر القسم غير صالح!,L'élément de section n'est pas valide !,Abschnittselement ist ungültig!,Элемент раздела недействителен!,Bölüm öğesi geçersiz!,अनुभाग आइटम अमान्य है!,سیکشن آئٹم غلط ہے!,部分项目无效！,Ihe ngalaba ezighi ezi!
Section item deleted successfully!,Section item deleted successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!,Élément de section supprimé avec succès !,Abschnittselement erfolgreich gelöscht!,Элемент раздела успешно удален!,Bölüm öğesi başarıyla silindi!,अनुभाग आइटम सफलतापूर्वक हटा दिया गया!,سیکشن آئٹم کامیابی کے ساتھ حذف ہو گیا!,部分项目删除成功！,A kpochapụrụ ihe ngalaba nke ọma!
Section Item updated successfully!,Section Item updated successfully!,¡Artículo de sección actualizado exitosamente!,تم تحديث عنصر القسم بنجاح!,Article de section mis à jour avec succès !,Abschnittselement erfolgreich aktualisiert!,Элемент раздела успешно обновлен!,Bölüm Öğesi başarıyla güncellendi!,अनुभाग आइटम सफलतापूर्वक अपडेट किया गया!,سیکشن آئٹم کامیابی کے ساتھ اپ ڈیٹ ہو گیا!,部分项目更新成功！,Emelitere ihe ngalaba nke ọma!
Mail send failed! Please try again,Mail send failed! Please try again,¡Falló el envío de correo! Por favor inténtalo de nuevo,فشل إرسال البريد! يرجى المحاولة مرة أخرى,L'envoi du courrier a échoué ! Veuillez réessayer,Mail-Versand fehlgeschlagen! Bitte versuche es erneut,"Отправка почты не удалась! Пожалуйста, попробуйте еще раз",Posta gönderimi başarısız oldu! Lütfen tekrar deneyin,मेल भेजना विफल! कृपया पुन: प्रयास करें,میل بھیجنے میں ناکام! دوبارہ کوشش کریں,邮件发送失败！请再试一次,Ozi izipu dara! Biko nwaa ọzọ
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح,Mail envoyé avec succès,E-Mail erfolgreich gesendet,Письмо успешно отправлено,Posta başarıyla gönderildi,मेल सफलतापूर्वक भेजा गया,میل کامیابی کے ساتھ بھیج دیا گیا۔,邮件已成功发送,Ozi ezigara nke ọma
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.,Ce ticket de support est fermé.,Dieses Supportticket ist geschlossen.,Этот запрос в службу поддержки закрыт.,Bu destek bileti kapalı.,यह समर्थन टिकट बंद है.,یہ سپورٹ ٹکٹ بند ہے۔,此支持票已关闭。,Emechiela tiketi nkwado a.
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡Error al enviar SMS! Por favor inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! يرجى المحاولة مرة أخرى.,L'envoi du SMS a échoué ! Veuillez réessayer.,SMS-Versand fehlgeschlagen! Bitte versuche es erneut.,"Отправка СМС не удалась! Пожалуйста, попробуйте еще раз.",SMS Gönderimi başarısız oldu! Lütfen tekrar deneyin.,एसएमएस भेजना विफल! कृपया पुन: प्रयास करें।,SMS بھیجنا ناکام ہو گیا! دوبارہ کوشش کریں.,短信发送失败！请再试一次。,SMS izipu adaghị! Biko nwaa ọzọ.
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل تغيير الحالة إلى نشطة!,Échec du changement d'état en actif !,Der Status konnte nicht in „Aktiv“ geändert werden!,Не удалось изменить статус на активный!,Durum etkin olarak değiştirilemedi!,स्थिति को सक्रिय में बदलने में विफल!,حالت کو فعال میں تبدیل کرنے میں ناکام!,无法将状态更改为活动！,Ịgbanwe ọkwa ka ọ rụọ ọrụ!
This ticket is already solved!,This ticket is already solved!,¡Este ticket ya está solucionado!,تم حل هذه التذكرة بالفعل!,Ce ticket est déjà résolu !,Dieses Ticket ist bereits gelöst!,Этот билет уже решен!,Bu bilet zaten çözüldü!,यह टिकट पहले ही हल हो चुका है!,یہ ٹکٹ پہلے ہی حل ہو چکا ہے!,这个票已经解决了！,E dozielarị tiketi a!
Transaction charge not found!,Transaction charge not found!,¡Cargo de transacción no encontrado!,لم يتم العثور على رسوم المعاملة!,Frais de transaction introuvables !,Transaktionsgebühr nicht gefunden!,Плата за транзакцию не найдена!,İşlem ücreti bulunamadı!,लेनदेन शुल्क नहीं मिला!,ٹرانزیکشن چارج نہیں ملا!,未找到交易费用！,Ahụghị ụgwọ azụmahịa!
Charge Updated Successfully!,Charge Updated Successfully!,¡Carga actualizada exitosamente!,تم تحديث الشحن بنجاح!,Charge mise à jour avec succès !,Gebühr erfolgreich aktualisiert!,Плата успешно обновлена!,Şarj Başarıyla Güncellendi!,चार्ज सफलतापूर्वक अपडेट किया गया!,چارج کامیابی کے ساتھ اپ ڈیٹ ہو گیا!,收费更新成功！,Emelitere chaja nke ọma!
Useful link added successfully!,Useful link added successfully!,¡Enlace útil agregado exitosamente!,تمت إضافة الرابط المفيد بنجاح!,Lien utile ajouté avec succès !,Nützlicher Link erfolgreich hinzugefügt!,Полезная ссылка успешно добавлена!,Yararlı bağlantı başarıyla eklendi!,उपयोगी लिंक सफलतापूर्वक जोड़ा गया!,کارآمد لنک کامیابی کے ساتھ شامل کیا گیا!,有用的链接添加成功！,Agbakwunyere njikọ bara uru nke ọma!
Link not found!,Link not found!,Enlace no encontrado!,لم يتم العثور على الرابط!,Lien introuvable !,Link nicht gefunden!,Ссылка не найдена!,Bağlantı bulunamadı!,लिंक नहीं मिला!,لنک نہیں ملا!,找不到链接！,Ahụghị njikọ!
Useful link updated successfully!,Useful link updated successfully!,¡Enlace útil actualizado exitosamente!,تم تحديث الرابط المفيد بنجاح!,Lien utile mis à jour avec succès !,Nützlicher Link erfolgreich aktualisiert!,Полезная ссылка успешно обновлена!,Faydalı bağlantı başarıyla güncellendi!,उपयोगी लिंक सफलतापूर्वक अपडेट किया गया!,مفید لنک کامیابی کے ساتھ اپ ڈیٹ ہو گیا!,有用的链接更新成功！,Njikọ bara uru emelitere nke ọma!
Useful link deleted successfully!,Useful link deleted successfully!,¡Enlace útil eliminado exitosamente!,تم حذف الرابط المفيد بنجاح!,Lien utile supprimé avec succès !,Nützlicher Link erfolgreich gelöscht!,Полезная ссылка успешно удалена!,Yararlı bağlantı başarıyla silindi!,उपयोगी लिंक सफलतापूर्वक हटा दिया गया!,مفید لنک کامیابی کے ساتھ حذف ہو گیا!,有用的链接删除成功！,Njikọ bara uru ehichapụrụ nke ọma!
Useful link status updated successfully!,Useful link status updated successfully!,¡El estado del enlace útil se actualizó exitosamente!,تم تحديث حالة الرابط المفيد بنجاح!,Statut du lien utile mis à jour avec succès !,Nützlicher Linkstatus erfolgreich aktualisiert!,Статус полезной ссылки успешно обновлен!,Faydalı bağlantı durumu başarıyla güncellendi!,उपयोगी लिंक स्थिति सफलतापूर्वक अपडेट की गई!,مفید لنک کی حیثیت کامیابی کے ساتھ اپ ڈیٹ ہو گئی!,有用的链接状态更新成功！,Ọkwa njikọ bara uru emelitere nke ọma!
Oops! User does not exists,Oops! User does not exists,¡Ups! El usuario no existe,أُووبس! المستخدم غير موجود,Oups ! L'utilisateur n'existe pas,Hoppla! Benutzer existiert nicht,Упс! Пользователь не существует,Hata! Kullanıcı mevcut değil,उफ़! उपयोगकर्ता मौजूद नहीं है,افوہ! صارف موجود نہیں ہے۔,哎呀！用户不存在,Ee! Onye ọrụ adịghị
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح,E-mail envoyé avec succès,E-Mail erfolgreich gesendet,Письмо успешно отправлено,E-posta başarıyla gönderildi,ईमेल सफलतापूर्वक भेजा गया,ای میل کامیابی سے بھیج دی گئی۔,电子邮件已成功发送,ezipula email nke ọma
User already KYC verified,User already KYC verified,Usuario ya verificado KYC,تم بالفعل التحقق من المستخدم,Utilisateur déjà vérifié KYC,Der Benutzer wurde bereits KYC-verifiziert,Пользователь уже прошел проверку KYC,Kullanıcı zaten KYC onaylı,उपयोगकर्ता पहले से ही केवाईसी सत्यापित है,صارف پہلے ہی KYC کی تصدیق کرچکا ہے۔,用户已通过 KYC 验证,Onye ọrụ enyochalarị KYC
User KYC information not found,User KYC information not found,Información KYC del usuario no encontrada,لم يتم العثور على معلومات KYC الخاصة بالمستخدم,Informations KYC de l'utilisateur introuvables,Benutzer-KYC-Informationen nicht gefunden,Информация KYC пользователя не найдена,Kullanıcı KYC bilgisi bulunamadı,उपयोगकर्ता केवाईसी जानकारी नहीं मिली,صارف کے وائی سی کی معلومات نہیں ملی,未找到用户 KYC 信息,Ahụghị ozi KYC onye ọrụ
User KYC successfully approved,User KYC successfully approved,Usuario KYC aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح,L'utilisateur KYC a été approuvé avec succès,Benutzer-KYC erfolgreich genehmigt,KYC пользователя успешно одобрен,Kullanıcı KYC'si başarıyla onaylandı,उपयोगकर्ता केवाईसी सफलतापूर्वक स्वीकृत,صارف کے وائی سی کو کامیابی کے ساتھ منظور کر لیا گیا۔,用户KYC成功通过,KYC onye ọrụ kwadoro nke ọma
User KYC information is rejected,User KYC information is rejected,La información KYC del usuario es rechazada,تم رفض معلومات KYC الخاصة بالمستخدم,Les informations KYC de l'utilisateur sont rejetées,Benutzer-KYC-Informationen werden abgelehnt,Информация KYC пользователя отклонена,Kullanıcı KYC bilgileri reddedildi,उपयोगकर्ता केवाईसी जानकारी अस्वीकार कर दी गई है,صارف کے وائی سی کی معلومات کو مسترد کر دیا گیا ہے۔,用户 KYC 信息被拒绝,Ajụjụ ozi KYC onye ọrụ
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!,Paramètres de base mis à jour avec succès !,Grundeinstellungen erfolgreich aktualisiert!,Основные настройки успешно обновлены!,Temel ayarlar başarıyla güncellendi!,बुनियादी सेटिंग्स सफलतापूर्वक अपडेट की गईं!,بنیادی ترتیبات کامیابی کے ساتھ اپ ڈیٹ ہو گئیں!,基本设置更新成功！,Emelitere ntọala ntọala nke ọma!
You have to configure your system mail first.,You have to configure your system mail first.,Primero debes configurar el correo de tu sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.,Vous devez d'abord configurer votre messagerie système.,Sie müssen zunächst Ihre Systemmail konfigurieren.,Сначала вам необходимо настроить системную почту.,Öncelikle sistem postanızı yapılandırmanız gerekir.,आपको पहले अपना सिस्टम मेल कॉन्फ़िगर करना होगा.,آپ کو پہلے اپنے سسٹم میل کو کنفیگر کرنا ہوگا۔,您必须首先配置您的系统邮件。,Ị ga-ebu ụzọ hazie ozi sistemụ gị.
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي,Veuillez d'abord configurer le champ KYC. Accédez à la page [Configurer KYC] dans la barre latérale,Bitte richten Sie zuerst das KYC-Feld ein. Gehen Sie in der Seitenleiste zur Seite [KYC einrichten].,"Пожалуйста, сначала настройте поле KYC. Перейдите на страницу [Настройка KYC] с боковой панели.",Lütfen önce KYC alanını kurun. Kenar çubuğundan [KYC Kurulumu] sayfasına gidin,कृपया पहले केवाईसी फ़ील्ड सेटअप करें। साइडबार से [सेटअप केवाईसी] पेज पर जाएं,براہ کرم پہلے KYC فیلڈ سیٹ کریں۔ سائڈبار سے [سیٹ اپ KYC] صفحہ پر جائیں۔,请先设置 KYC 字段。从侧边栏转到[设置 KYC] 页面,Biko buru ụzọ hazie ubi KYC. Gaa na ibe [Setup KYC] site na akụkụ akụkụ
Basic settings status updated successfully!,Basic settings status updated successfully!,¡El estado de la configuración básica se actualizó correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!,L'état des paramètres de base a été mis à jour avec succès !,Grundeinstellungsstatus erfolgreich aktualisiert!,Статус основных настроек успешно обновлен!,Temel ayarların durumu başarıyla güncellendi!,बुनियादी सेटिंग्स स्थिति सफलतापूर्वक अपडेट की गई!,بنیادی ترتیبات کی حیثیت کامیابی کے ساتھ اپ ڈیٹ ہو گئی!,基本设置状态更新成功！,Emelitere ọkwa ntọala ntọala nke ọma!
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,¡Configuración básica no encontrada! Por favor ejecute el sembrador de base de datos,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات,Paramètre de base introuvable ! Veuillez exécuter le semoir de base de données,Grundeinstellung nicht gefunden! Bitte führen Sie den Datenbank-Seeder aus,"Базовая настройка не найдена! Пожалуйста, запустите программу раздачи базы данных",Temel ayar bulunamadı! Lütfen veritabanı ekme makinesini çalıştırın,मूल सेटिंग नहीं मिली! कृपया डेटाबेस सीडर चलाएँ,بنیادی ترتیب نہیں ملی! براہ کرم ڈیٹا بیس سیڈر چلائیں۔,未找到基本设置！请运行数据库播种程序,Ahụghị ntọala ntọala! Biko mee ka nchekwa data seeder
No changes to update.,No changes to update.,No hay cambios para actualizar.,لا توجد تغييرات للتحديث.,Aucune modification à mettre à jour.,Keine Änderungen zum Update.,Никаких изменений для обновления.,Güncellenecek değişiklik yok.,अद्यतन करने के लिए कोई परिवर्तन नहीं.,اپ ڈیٹ کرنے کے لیے کوئی تبدیلی نہیں۔,没有要更新的更改。,Enweghị mgbanwe maka mmelite.
Image assets updated successfully!.,Image assets updated successfully!.,Recursos de imagen actualizados exitosamente.,تم تحديث أصول الصورة بنجاح!.,Les éléments d'image ont été mis à jour avec succès !.,Bildressourcen erfolgreich aktualisiert!.,Ресурсы изображений успешно обновлены!.,Resim öğeleri başarıyla güncellendi!.,छवि परिसंपत्तियाँ सफलतापूर्वक अपडेट की गईं!,تصویری اثاثے کامیابی کے ساتھ اپ ڈیٹ ہو گئے!,图片资源更新成功！,Emelitere akụ onyonyo nke ọma!.
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!,Informations SEO mises à jour avec succès !,SEO-Informationen erfolgreich aktualisiert!,SEO-информация успешно обновлена!,SEO bilgileri başarıyla güncellendi!,एसईओ जानकारी सफलतापूर्वक अपडेट की गई!,SEO کی معلومات کو کامیابی سے اپ ڈیٹ کر دیا گیا!,SEO信息更新成功！,A na-emelite ozi SEO nke ọma!
You can resend verification code after,You can resend verification code after,Puedes reenviar el código de verificación después,يمكنك إعادة إرسال رمز التحقق بعد ذلك,Vous pouvez renvoyer le code de vérification après,Sie können den Bestätigungscode anschließend erneut senden,Вы можете повторно отправить код подтверждения после,Doğrulama kodunu daha sonra tekrar gönderebilirsiniz.,आप इसके बाद सत्यापन कोड दोबारा भेज सकते हैं,آپ تصدیقی کوڈ کے بعد دوبارہ بھیج سکتے ہیں۔,您可以稍后重新发送验证码,Ị nwere ike izipu koodu nkwenye ma emechaa
seconds,seconds,artículos de segunda clase,ثواني,secondes,Sekunden,секунды,saniye,सेकंड,سیکنڈ,秒,sekọnd
token,token,simbólico,رمز مميز,jeton,Zeichen,жетон,jeton,टोकन,ٹوکن,代币,akara
wait_time,wait_time,tiempo de espera,wait_time,temps_d'attente,Wartezeit,время ожидания,bekleme zamanı,प्रतीक्षा समय,انتظار_وقت,等待时间,oge nchere
instructions,instructions,instrucciones,تعليمات,instructions,Anweisungen,инструкции,talimatlar,निर्देश,ہدایات,指示,ntuziaka
input_fields,input_fields,campos_de_entrada,input_fields,champs_d'entrée,Eingabefelder,поля ввода,giriş_alanları,इनपुट_फ़ील्ड,input_fields,输入字段,ntinye_ubi
User doesn't exists!,User doesn't exists!,¡El usuario no existe!,المستخدم غير موجود!,L'utilisateur n'existe pas !,Benutzer existiert nicht!,Пользователь не существует!,Kullanıcı mevcut değil!,उपयोगकर्ता मौजूद नहीं है!,صارف موجود نہیں ہے!,用户不存在！,Onye ọrụ adịghị!
Oops! User doesn't exists,Oops! User doesn't exists,¡Ups! El usuario no existe,أُووبس! المستخدم غير موجود,Oups ! L'utilisateur n'existe pas,Hoppla! Benutzer existiert nicht,Упс! Пользователь не существует,Hata! Kullanıcı mevcut değil,उफ़! उपयोगकर्ता मौजूद नहीं है,افوہ! صارف موجود نہیں ہے۔,哎呀！用户不存在,Ee! Onye ọrụ adịghị
Waiting,Waiting,Espera,منتظر,En attendant,Warten,Ожидающий,Beklemek,इंतज़ार में,انتظار کر رہا ہے۔,等待,Na-eche
Hold,Hold,Sostener,يمسك,Prise,Halten,Держать,Tutmak,पकड़ना,پکڑو,抓住,Jide
User already exists!,User already exists!,¡El usuario ya existe!,المستخدم موجود بالفعل!,L'utilisateur existe déjà !,Benutzer existiert bereits!,Пользователь уже существует!,Kullanıcı zaten var!,उपयोगकर्ता पहले से मौजूद है!,صارف پہلے سے موجود ہے!,用户已存在！,Onye ọrụ adịlarị!
Registration Failed! Something went wrong! Please try again,Registration Failed! Something went wrong! Please try again,¡El registro falló! ¡Algo salió mal! Por favor inténtalo de nuevo,فشل التسجيل! حدث خطأ ما! يرجى المحاولة مرة أخرى,L'inscription a échoué ! Quelque chose s'est mal passé ! Veuillez réessayer,Registrierung fehlgeschlagen! Etwas ist schief gelaufen! Bitte versuche es erneut,"Регистрация не удалась! Что-то пошло не так! Пожалуйста, попробуйте еще раз",Kayıt başarısız! Bir şeyler yanlış gitti! Lütfen tekrar deneyin,पंजीकरण विफल रहा! कुछ गलत हो गया! कृपया पुन: प्रयास करें,رجسٹریشن ناکام! کچھ غلط ہو گیا! دوبارہ کوشش کریں,注册失败！出了些问题！请再试一次,Ndebanye aha agaghị! Ọ nwere ihe adịghị mma! Biko nwaa ọzọ
Transaction request sended successfully!,Transaction request sended successfully!,¡Solicitud de transacción enviada exitosamente!,تم إرسال طلب المعاملة بنجاح!,Demande de transaction envoyée avec succès !,Transaktionsanfrage erfolgreich gesendet!,Запрос на транзакцию успешно отправлен!,İşlem isteği başarıyla gönderildi!,लेन-देन अनुरोध सफलतापूर्वक भेजा गया!,لین دین کی درخواست کامیابی کے ساتھ بھیج دی گئی!,交易请求发送成功！,Arịrịọ azụmahịa ezigara nke ọma!
Successfully added money,Successfully added money,Dinero agregado exitosamente,تمت إضافة الأموال بنجاح,Argent ajouté avec succès,Geld erfolgreich hinzugefügt,Деньги успешно добавлены,Para başarıyla eklendi,सफलतापूर्वक पैसा जोड़ा गया,رقم کامیابی کے ساتھ شامل کی گئی۔,充值成功,Ego agbakwunyere nke ọma
Gpay bank list server response failed! Please try again,Gpay bank list server response failed! Please try again,¡La respuesta del servidor de la lista de bancos de Gpay falló! Por favor inténtalo de nuevo,فشلت استجابة خادم قائمة بنك Gpay! يرجى المحاولة مرة أخرى,La réponse du serveur de liste de banques Gpay a échoué ! Veuillez réessayer,Die Antwort des Gpay-Banklistenservers ist fehlgeschlagen! Bitte versuche es erneut,"Не удалось ответить серверу списка банков Gpay! Пожалуйста, попробуйте еще раз",Gpay banka listesi sunucusu yanıtı başarısız oldu! Lütfen tekrar deneyin,Gpay बैंक सूची सर्वर प्रतिक्रिया विफल! कृपया पुन: प्रयास करें,Gpay بینک لسٹ سرور کا جواب ناکام ہو گیا! دوبارہ کوشش کریں,Gpay银行列表服务器响应失败！请再试一次,Nzaghachi ihe nkesa ndepụta ụlọ akụ GPay dara! Biko nwaa ọzọ
Transaction hash is required for verify,Transaction hash is required for verify,Se requiere hash de transacción para verificar,تجزئة المعاملة مطلوبة للتحقق,Le hachage de la transaction est requis pour la vérification,Zur Überprüfung ist ein Transaktions-Hash erforderlich,Для проверки необходим хеш транзакции,Doğrulama için işlem karması gerekiyor,सत्यापन के लिए लेनदेन हैश आवश्यक है,تصدیق کے لیے ٹرانزیکشن ہیش درکار ہے۔,验证时需要交易哈希,Achọrọ hash azụmahịa maka nyochaa
Transaction hash is not valid! Please input a valid hash,Transaction hash is not valid! Please input a valid hash,¡El hash de transacción no es válido! Por favor ingresa un hash válido,تجزئة المعاملة غير صالحة! الرجاء إدخال تجزئة صالحة,Le hachage de la transaction n'est pas valide ! Veuillez saisir un hachage valide,Transaktions-Hash ist ungültig! Bitte geben Sie einen gültigen Hash ein,"Хэш транзакции недействителен! Пожалуйста, введите действительный хэш",İşlem karması geçerli değil! Lütfen geçerli bir karma değeri girin,लेनदेन हैश मान्य नहीं है! कृपया एक वैध हैश इनपुट करें,ٹرانزیکشن ہیش درست نہیں ہے! براہ کرم ایک درست ہیش درج کریں۔,交易哈希无效！请输入有效的哈希值,Hash azụmahịa adịghị mma! Biko tinye hash ziri ezi
Insufficient amount added. Please contact with system administrator,Insufficient amount added. Please contact with system administrator,Cantidad insuficiente agregada. Por favor contacte con el administrador del sistema,تمت إضافة كمية غير كافية. يرجى الاتصال بمسؤول النظام,Quantité ajoutée insuffisante. Veuillez contacter l'administrateur système,Unzureichende Menge hinzugefügt. Bitte wenden Sie sich an den Systemadministrator,"Добавлена ​​недостаточная сумма. Пожалуйста, свяжитесь с системным администратором",Yetersiz miktarda eklendi. Lütfen sistem yöneticisiyle iletişime geçin,अपर्याप्त राशि जोड़ी गई. कृपया सिस्टम प्रशासक से संपर्क करें,ناکافی رقم شامل کی گئی۔ براہ کرم سسٹم ایڈمنسٹریٹر سے رابطہ کریں۔,添加量不足。请联系系统管理员,Ego ezughị ezu agbakwunyere. Biko kpọtụrụ onye nchịkwa sistemụ
Payment Confirmation Success!,Payment Confirmation Success!,¡Confirmación de pago exitosa!,نجاح تأكيد الدفع!,Confirmation de paiement réussie !,Zahlungsbestätigung erfolgreich!,Подтверждение платежа прошло успешно!,Ödeme Onayı Başarılı!,भुगतान पुष्टिकरण सफलता!,ادائیگی کی تصدیق کی کامیابی!,付款确认成功！,Ịga nke Ọma Nkwenye Ịkwụ Ụgwọ!
This section is under maintenance!,This section is under maintenance!,¡Esta sección está en mantenimiento!,هذا القسم تحت الصيانة!,Cette rubrique est en maintenance !,Dieser Abschnitt wird gerade gewartet!,Раздел находится на обслуживании!,Bu bölüm bakımdadır!,यह अनुभाग रखरखाव के अधीन है!,یہ سیکشن دیکھ بھال کے تحت ہے!,此栏目正在维护中！,A na-arụzi ngalaba a!
Banned,Banned,Prohibido,محظور,Interdit,Verboten,Запрещено,Yasaklandı,प्रतिबंधित,پابندی لگا دی۔,禁止,Amachibidoro
Enable,Enable,Permitir,يُمكَِن,Activer,Aktivieren,Давать возможность,Olanak vermek,सक्षम,فعال,使能够,Kwado
Disable,Disable,Desactivar,إبطال,Désactiver,Deaktivieren,Запрещать,Devre dışı bırakmak,अक्षम करना,غیر فعال کریں۔,禁用,Gbanyụọ
label,label,etiqueta,ملصق,étiquette,Etikett,этикетка,etiket,लेबल,لیبل,标签,akara
Language Name,Language Name,Nombre del idioma,اسم اللغة,Nom de la langue,Sprache Name,Название языка,dil adı,भाषा का नाम,زبان کا نام,语言名称,Aha Asụsụ
Language Code,Language Code,Código de idioma,رمز اللغة,Code de langue,Sprachcode,Код языка,Dil kodu,भाषा कोड,زبان کا کوڈ,语言代码,Koodu asụsụ
Type,Type,Tipo,يكتب,Taper,Typ,Тип,Tip,प्रकार,قسم,类型,Ụdị
FIAT,FIAT,FÍAT,فيات,DÉCRET,FIAT,ФИАТ,FIAT,व्यवस्थापत्र,FIAT,菲亚特,FIAT
CRYPTO,CRYPTO,CRIPTO,تشفير,CRYPTO,KRYPTO,КРИПТО,KRİPTO,क्रिप्टो,کرپٹو,加密货币,CRYPTO
Symbol,Symbol,Símbolo,رمز,Symbole,Symbol,Символ,Sembol,प्रतीक,علامت,象征,Akara
Role,Role,Role,دور,Rôle,Rolle,Роль,Rol,भूमिका,کردار,角色,Ọrụ
Both,Both,Ambos,كلاهما,Les deux,Beide,Оба,İkisi birden,दोनों,دونوں,两个都,Ha abụọ
Sender,Sender,Remitente,مرسل,Expéditeur,Absender,Отправитель,Gönderen,प्रेषक,بھیجنے والا,发件人,Onye zitere
Option,Option,Opción,خيار,Option,Möglichkeit,Вариант,Seçenek,विकल्प,آپشن,选项,Nhọrọ
Image,Image,Imagen,صورة,Image,Bild,Изображение,Resim,छवि,تصویر,图像,Onyonyo
Subject,Subject,Sujeto,موضوع,Sujet,Thema,Предмет,Ders,विषय,مضمون,主题,Isiokwu
DELETE,DELETE,BORRAR,يمسح,SUPPRIMER,LÖSCHEN,УДАЛИТЬ,SİLMEK,मिटाना,حذف کریں۔,删除,HIchapụ
Active,Active,Activo,نشيط,Actif,Aktiv,Активный,Aktif,सक्रिय,فعال,积极的,Na-arụ ọrụ
Deactive,Deactive,Desactivado,غير نشط,Désactivé,Deaktiv,Деактивирован,Devre dışı,अक्रिय,غیر فعال,停用,Akwụsịghị ya
Mnemonic,Mnemonic,Mnemotécnico,ذاكري,Mnémonique,Gedächtnisstütze,Мнемоника,anımsatıcı,स्मृति सहायक,یادداشت کا,助记符,Mnemonic
Extended Public Key (Xpub),Extended Public Key (Xpub),Clave pública extendida (Xpub),المفتاح العام الممتد (Xpub),Clé publique étendue (Xpub),Erweiterter öffentlicher Schlüssel (Xpub),Расширенный открытый ключ (Xpub),Genişletilmiş Genel Anahtar (Xpub),विस्तारित सार्वजनिक कुंजी (Xpub),توسیع شدہ عوامی کلید (Xpub),扩展公钥 (Xpub),Igodo Ọhaneze agbatịgoro (Xpub)
Private Key,Private Key,Clave privada,مفتاح خاص,Clé privée,Privat Schlüssel,Закрытый ключ,Özel anahtar,निजी चाबी,نجی کلید,私钥,Igodo nkeonwe
Public Address,Public Address,Dirección pública,العنوان العام,Sonorisation publique,Öffentliche Adresse,Публичный адресс,Açık adres,सार्वजनिक उद्घोषणा,عوامی خطاب,公共广播,Okwu ọha
Selectable,Selectable,Seleccionable,قابل للتحديد,Sélectionnable,Wählbar,Выбираемый,Seçilebilir,चयन,قابل انتخاب,可选,Enwere ike ịhọrọ
Current Password,Current Password,Contraseña actual,كلمة المرور الحالية,Mot de passe actuel,Aktuelles Passwort,Текущий пароль,Mevcut Şifre,वर्तमान पासवर्ड,موجودہ خفیہ لفظ,当前密码,Okwuntughe Ugbu a
Zip/Postal,Zip/Postal,Código postal/correo postal,الرمز البريدي/البريدي,Zip/Poste,Postleitzahl/Post,Почтовый/Почтовый,Posta/Posta,ज़िप/डाक,زپ/پوسٹل,邮政/邮政,Zip/nzi ozi
Mail From Address,Mail From Address,Correo desde la dirección,البريد من العنوان,Adresse du courrier depuis,E-Mail-Absenderadresse,Почта с адреса,Adresten Posta,मेल पते से,ایڈریس سے میل,邮件发件人地址,Ozi Site na Adreesị
Required,Required,Requerido,مطلوب,Requis,Erforderlich,Необходимый,Gerekli,आवश्यक,درکار ہے۔,必需的,Achọrọ
Categories,Categories,Categorías,فئات,Catégories,Kategorien,Категории,Kategoriler,श्रेणियाँ,اقسام,类别,Otu
User Status,User Status,Estado de usuario,حالة المستخدم,Statut de l'utilisateur,Benutzerstatus,Статус пользователь,Kullanıcı durumu,उपयोगकर्ता की स्थिति,صارف کی حیثیت,用户状态,Ọnọdụ onye ọrụ
Unverified,Unverified,Inconfirmado,لم يتم التحقق منها,Non vérifié,Nicht bestätigt,Непроверенный,Doğrulanmamış,असत्यापित,غیر تصدیق شدہ,未验证,Amabeghị
